frequency,bigram/trigram,polarity,subjective
65,olive oil,0.0,0.0
48,hello fresh,0.3,0.5
41,link bio,0.0,0.0
37,plant based,0.0,0.0
33,feast box,0.0,0.0
33,bung jagoi,0.0,0.0
32,discount code,0.0,0.0
31,call 9818640011,0.0,0.0
31,bio discount,0.0,0.0
30,foodhaul foodgasm,0.0,0.0
30,bio discount code,0.0,0.0
29,check bio discount,0.0,0.0
29,check bio,0.0,0.0
27,salt pepper,0.0,0.0
26,tbsp olive oil,0.0,0.0
26,tbsp olive,0.0,0.0
25,zomato magicpin,0.0,0.0
25,place order,0.0,0.0
24,sweet potato,0.35,0.65
24,game life,-0.4,0.4
23,houseplantsofinstagram houseplantclub,0.0,0.0
23,green bean,-0.2,0.3
22,houseplantsofinstagram houseplantclub houseplant,0.0,0.0
22,houseplantclub houseplant,0.0,0.0
22,foodphotography foodstagram,0.0,0.0
21,plantshopinginstagram plantclubindonesia,0.0,0.0
21,plantclubindonesia plantshopjakarta,0.0,0.0
21,noida delhincr,0.0,0.0
21,fit fitspo,0.4,0.4
20,urbanjungle urbanjungleblogger,0.0,0.0
20,teamshape aarmy sportas,0.0,0.0
20,teamshape aarmy,0.0,0.0
20,teamlittlebirds shape fitgirl,0.0,0.0
20,teamlittlebirds shape,0.0,0.0
20,sportas teamlittlebirds shape,0.0,0.0
20,sportas teamlittlebirds,0.0,0.0
20,shape fitgirl beaute,0.0,0.0
20,shape fitgirl,0.0,0.0
20,running ck fit,0.4,0.4
20,running ck,0.0,0.0
20,picoftheday fitnessgirl teamshape,0.0,0.0
20,picoftheday fitnessgirl,0.0,0.0
20,photographie photo running,0.0,0.0
20,photographie photo,0.0,0.0
20,photo running ck,0.0,0.0
20,photo running,0.0,0.0
20,fitspo fityourdreams,0.0,0.0
20,fitnessgirl teamshape aarmy,0.0,0.0
20,fitnessgirl teamshape,0.0,0.0
20,fitgirl beaute photographie,0.0,0.0
20,fitgirl beaute,0.0,0.0
20,fit fitspo fityourdreams,0.4,0.4
20,ck fit fitspo,0.4,0.4
20,ck fit,0.4,0.4
20,beaute photographie photo,0.0,0.0
20,beaute photographie,0.0,0.0
20,aroidfanatic aroidsocietyau,0.0,0.0
20,aarmy sportas teamlittlebirds,0.0,0.0
20,aarmy sportas,0.0,0.0
19,maple syrup,0.0,0.0
19,last night,0.0,0.06666666666666667
19,aroidsofinstagram aroidjungle aroidmania,0.0,0.0
19,aroidsofinstagram aroidjungle,0.0,0.0
19,aroidplants aroidsofinstagram aroidjungle,0.0,0.0
19,aroidplants aroidsofinstagram,0.0,0.0
19,aroidmania aroidfanatic aroidsocietyau,0.0,0.0
19,aroidmania aroidfanatic,0.0,0.0
19,aroidlovers aroidaddicts aroidplants,0.0,0.0
19,aroidlovers aroidaddicts,0.0,0.0
19,aroidjungle aroidmania aroidfanatic,0.0,0.0
19,aroidjungle aroidmania,0.0,0.0
19,aroidaddicts aroidplants aroidsofinstagram,0.0,0.0
19,aroidaddicts aroidplants,0.0,0.0
18,workout ab musculationfrance,0.0,0.0
18,workout ab,0.0,0.0
18,tsp salt,0.0,0.0
18,sport musuc,0.0,0.0
18,musculationfrance jelefaycardio photographie,0.0,0.0
18,musculationfrance jelefaycardio,0.0,0.0
18,jelefaycardio photographie,0.0,0.0
18,fityourdreams workout ab,0.0,0.0
18,fityourdreams workout,0.0,0.0
18,fitspo fityourdreams workout,0.0,0.0
18,ab musculationfrance jelefaycardio,0.0,0.0
18,ab musculationfrance,0.0,0.0
17,sea salt,0.0,0.0
17,recipe meal,0.0,0.0
17,hellofreshuk hellofreshdiscount,0.0,0.0
16,stndrdissue stndrdissüe,0.0,0.0
16,recipebox mealkit,0.0,0.0
16,kurami midnightdemonsgarage,0.0,0.0
16,heat add,0.0,0.0
16,easy make,0.43333333333333335,0.8333333333333334
16,discount code hellofreshuk,0.0,0.0
16,delivery cooking,0.0,0.0
16,code hellofreshuk,0.0,0.0
16,cant wait,0.0,0.0
15,spring onion,0.0,0.0
15,red onion,0.0,0.0
15,philodendron houseplantsofinstagram houseplantclub,0.0,0.0
15,philodendron houseplantsofinstagram,0.0,0.0
15,new year,0.13636363636363635,0.45454545454545453
15,motivacion sport musuc,0.0,0.0
15,motivacion sport,0.0,0.0
15,hellofreshuk hellofreshdiscount homecooking,0.0,0.0
15,hellofreshdiscount homecooking,0.0,0.0
15,code hellofreshuk hellofreshdiscount,0.0,0.0
15,coconut milk,0.0,0.0
14,urbanjungleblogger philodendronfriday plantshopinginstagram,0.0,0.0
14,urbanjungleblogger philodendronfriday,0.0,0.0
14,urbanjungle urbanjungleblogger philodendronfriday,0.0,0.0
14,syukurin_nikmatin_jalani_janganlupabahagia rezekigakketuker,0.0,0.0
14,sora shiro,0.0,0.0
14,r32 skyline,0.0,0.0
14,plantshopjakarta plantlovers plantseller,0.0,0.0
14,plantshopjakarta plantlovers,0.0,0.0
14,plantshopinginstagram plantclubindonesia plantshopjakarta,0.0,0.0
14,plantseller onlineshopping onlineshop,0.0,0.0
14,plantseller onlineshopping,0.0,0.0
14,plantlovers plantseller onlineshopping,0.0,0.0
14,plantlovers plantseller,0.0,0.0
14,plantclubindonesia plantshopjakarta plantlovers,0.0,0.0
14,philodendronfriday plantshopinginstagram plantclubindonesia,0.0,0.0
14,philodendronfriday plantshopinginstagram,0.0,0.0
14,onlineshopping onlineshop syukurin_nikmatin_jalani_janganlupabahagia,0.0,0.0
14,onlineshopping onlineshop,0.0,0.0
14,onlineshop syukurin_nikmatin_jalani_janganlupabahagia rezekigakketuker,0.0,0.0
14,onlineshop syukurin_nikmatin_jalani_janganlupabahagia,0.0,0.0
14,onlineordering ordernow,0.0,0.0
14,musculation picoftheday fitnessgirl,0.0,0.0
14,musculation picoftheday,0.0,0.0
14,kimojistyle livinglegends,0.0,0.0
14,houseplantclub houseplant aroidlovers,0.0,0.0
14,houseplant aroidlovers aroidaddicts,0.0,0.0
14,houseplant aroidlovers,0.0,0.0
14,hellofreshuk homecooking,0.0,0.0
14,healthylifestyle healthyfood,0.0,0.0
14,garlic oil,0.0,0.0
14,foodstagram foodblogger,0.0,0.0
14,call 9818640011 place,0.0,0.0
14,aroidsocietyau urbanjungle urbanjungleblogger,0.0,0.0
14,aroidsocietyau urbanjungle,0.0,0.0
14,aroidfanatic aroidsocietyau urbanjungle,0.0,0.0
14,9818640011 place,0.0,0.0
13,vegetable stock,0.0,0.0
13,nogamenolife sora,0.0,0.0
13,mindful chef,0.0,0.0
13,ice cream,0.0,0.0
13,complimentary contest,0.3,0.5
13,chinese yummy,0.0,0.0
13,black pepper,-0.16666666666666666,0.43333333333333335
12,urbanjungleblogger urbanjungle,0.0,0.0
12,sweet sour,0.09999999999999998,0.375
12,super easy,0.3833333333333333,0.75
12,stir fry,0.0,0.0
12,sport musuc musculation,0.0,0.0
12,preheat oven,0.0,0.0
12,nasi goreng,0.0,0.0
12,musuc musculation picoftheday,0.0,0.0
12,musuc musculation,0.0,0.0
12,medium heat,0.0,0.0
