captions,likes,comments,hashtag
Fresh and Juicy #salads #allplants,9,[],allplants
"Magnify yourself..In solitude the mind gains strength and learns to lean upon itself

Ordernow
Beautiful enduring cycus palm bonsai
#plantlove #dishgardens  #myhome  #mygarden #giftingideas #enduring  #loveforplants  #lovelypalm  #solitude #picofday  #beautifulplants  #beautifulplants #mycreation  #allplants  #allaboutgreens  #houdewarming  #celebration",35,[],allplants
"Short facts why veganism is good for the planet: Animal agriculture produces more greenhouse gas emissions than all the cars, trains, planes, and other forms of transportation around the world combined ✈️ Plus, factory farming is responsible for 65 percent of all human-related emissions of nitrous oxide—a greenhouse gas with 296 times the global warming potential of carbon dioxide, which can stay in the atmosphere for 200 years 🐮 Studies show going vegan cuts your carbon footprint in half 🌱",50,['✖️✖️✖️✖️✖️✖️✖️✖️✖️✖️#fairtradefashion #plantbasedbabe #veganstreetwear #veganfashion #veganapparel #losangelesvegans #vegansoflosangeles \n#lavegan #ukvegan #aussievegan #vegancanada #vegansofgermany #vegan #nodairy #dairyfree #nomilk #nocheese #plantfood #vegan #nomeat #allplants #antidairy #lbvegan #longbeachvegan #socalvegan #losangeles #crueltyfree  #lbcvegan #santaanavegan #vegansoflosangeles'],allplants
"Me: Put MS here (the little white tag)
Gan: Put 10
Me: huh? Why arr?
Gan: so that every slice has one tag. Everyone knows who is MS.
Me: 🙄 no need. Put more flowers. .
.
Cute kan? (Gan @goodlife_gan )! 2nd class was a bit relax, she had more time chit chating with me and teasing me 😄
.
.
Vegan yam mousse cake. I make two layers only for this cake - vanilla sponge cake and yam mousse. This recipe will be included in my 2-day intermediate vegan baking workshop at @bakeandartisan , Jakarta on 28-29 Feb.
.
You'll learn: .
Vanilla sponge cake 
Vegan meringue 
Yam cremeux 
Yam mousse 
Basic deco with fresh flowers
.
See you soon in Jakarta.
.
.
.
.
.
#vegan #allplants #plantbased #vegansofig #workshop #jakarta #vegansJakarta #JakartaBakingWorkshop #bakingclass #veganbaking",59,"['🤣💕 Your photos look good! ✨', 'Looks delicious. Do you have a recipe book for me to purchase? 😉 Jaren from Sabah']",allplants
"Vegan breakfast fit for a king!
Strawberry Peanut butter waffle.
Banana dark chocolate oatmeal.
Green protein shake. #veganbulking #allplants #veganbodybuilding #sogood #vegangains #getbigwithplants #eatbigtogetbig #healthylifestyle #organic",7,[],allplants
"Egusi makes yet another appearance in today's lunch, but with pasta which I have never tried or seen before. It was a great combination 😍.
Topped with my fav, fried plantain, and some fresh tomato.
#vegan #food #veganfood #blog #foodofinstagram #foodoftheday #plantbased #plantbaseddiet #food #foodlog #foodblogger #sweetandsavory #veganrecipes #vegans #veganlife #allplants #green
#plantain tomato #fresh #egusi #delicious #recipes #recipeideas",28,[],allplants
Rossii.....🚴 #chalatea #plantsmakepeoplehappy #chalateaclub #plants #aroidsofinstagram #plantsofinstagram🌱 #allplants,22,[],allplants
"Cara Cara 🌱🍊 • • • 
#vegan #caracara #fruit #snack #fruitsnack #organic #rubyred #rubyredgrapefruit #citrus #orange #juicy #fruity #tasty #healthy #plantbased #eataplant #goodforyou #healthfood #vegansnack #snacktime #yum #garden #homevegan #vegantime #veganideas #allplants #dairyfree #animalfree #crueltyfree #theeagervegan",24,[],allplants
"𝐇𝐞𝐥𝐥𝐨 𝐈𝐧𝐬𝐭𝐚𝐠𝐫𝐚𝐦!
Here’s our first post, a delicious Asian style risotto. Full of greens, flavour & goodness. 😋 Taken from @bosh.tv Healthy Vegan book. 🌱 #fromourbowl #vegancooking #allplants #plantbased #foodie #dinner #yum #asiancooking #asianvegan #whattheguac",28,[],allplants
"Dinner today was so yum! Again simple with no fuss. I always go back for seconds rather than stack my plate and plantains and avocados are two things I can go back for seconds and thirds and...with ease!
#fortheloveofavocado
#fortheloveofplantain
#simplesuppers 
#easymeals 
#easytomake 
#easyrecipes 
#allplants
#yummyinmytummy",15,[],allplants
