,term,rank
7323,bio discount,4.409506887701735
20494,discount code,4.370240150386846
7324,bio discount code,4.316269672247602
11955,check bio,4.199063538890288
11956,check bio discount,4.199063538890288
35563,hello fresh,3.826289285005244
9636,bung jagoi,3.6284587680735974
43499,link bio,3.3044196163931923
10401,call 9818640011,3.1443417541071517
27804,foodhaul foodgasm,2.8685696395214157
33249,green bean,2.8069997907162816
35907,hellofreshuk hellofreshdiscount,2.793611382814627
37267,houseplantsofinstagram houseplantclub,2.736380513630832
85256,zomato magicpin,2.731085425481512
25293,feast box,2.704542721828891
57649,place order,2.6677553992129583
37269,houseplantsofinstagram houseplantclub houseplant,2.6489973420197126
37254,houseplantclub houseplant,2.6489973420197126
20496,discount code hellofreshuk,2.633258431123213
14506,code hellofreshuk,2.633258431123213
58172,plantclubindonesia plantshopjakarta,2.6150144622950404
58361,plantshopinginstagram plantclubindonesia,2.5956249438200336
4478,aroidfanatic aroidsocietyau,2.5550279745590934
53694,olive oil,2.553390228888506
78194,urbanjungle urbanjungleblogger,2.5481136769378403
35689,hellofreshdiscount homecooking,2.5347459341452194
14507,code hellofreshuk hellofreshdiscount,2.5347459341452194
35908,hellofreshuk hellofreshdiscount homecooking,2.5347459341452194
52058,noida delhincr,2.4590979122639958
4464,aroidaddicts aroidplants,2.354997207292376
4465,aroidaddicts aroidplants aroidsofinstagram,2.354997207292376
4523,aroidsofinstagram aroidjungle,2.354997207292376
4524,aroidsofinstagram aroidjungle aroidmania,2.354997207292376
4498,aroidmania aroidfanatic aroidsocietyau,2.354997207292376
4497,aroidmania aroidfanatic,2.354997207292376
4486,aroidlovers aroidaddicts aroidplants,2.354997207292376
4485,aroidlovers aroidaddicts,2.354997207292376
4482,aroidjungle aroidmania,2.354997207292376
4508,aroidplants aroidsofinstagram aroidjungle,2.354997207292376
4507,aroidplants aroidsofinstagram,2.354997207292376
4483,aroidjungle aroidmania aroidfanatic,2.354997207292376
35920,hellofreshuk homecooking,2.209631633283385
72263,sweet potato,2.183156136571621
30655,game life,2.151012194153697
41881,last night,2.057468643168177
57807,plant based,2.034805741990253
14505,code hellofreshdiscount hellofreshuk,1.989846526085649
14504,code hellofreshdiscount,1.989846526085649
35688,hellofreshdiscount hellofreshuk homecooking,1.989846526085649
35687,hellofreshdiscount hellofreshuk,1.989846526085649
20495,discount code hellofreshdiscount,1.989846526085649
57009,philodendron houseplantsofinstagram,1.976835912435525
57010,philodendron houseplantsofinstagram houseplantclub,1.976835912435525
37256,houseplantclub houseplant aroidlovers,1.8751924161719575
54300,onlineshop syukurin_nikmatin_jalani_janganlupabahagia rezekigakketuker,1.8751924161719575
58341,plantseller onlineshopping onlineshop,1.8751924161719575
58173,plantclubindonesia plantshopjakarta plantlovers,1.8751924161719575
4481,aroidfanatic aroidsocietyau urbanjungle,1.8751924161719575
57046,philodendronfriday plantshopinginstagram plantclubindonesia,1.8751924161719575
57045,philodendronfriday plantshopinginstagram,1.8751924161719575
58390,plantshopjakarta plantlovers plantseller,1.8751924161719575
78200,urbanjungleblogger philodendronfriday plantshopinginstagram,1.8751924161719575
78199,urbanjungleblogger philodendronfriday,1.8751924161719575
37229,houseplant aroidlovers aroidaddicts,1.8751924161719575
58365,plantshopinginstagram plantclubindonesia plantshopjakarta,1.8751924161719575
58340,plantseller onlineshopping,1.8751924161719575
37228,houseplant aroidlovers,1.8751924161719575
78195,urbanjungle urbanjungleblogger philodendronfriday,1.8751924161719575
58254,plantlovers plantseller,1.8751924161719575
4519,aroidsocietyau urbanjungle,1.8751924161719575
4520,aroidsocietyau urbanjungle urbanjungleblogger,1.8751924161719575
58255,plantlovers plantseller onlineshopping,1.8751924161719575
72599,syukurin_nikmatin_jalani_janganlupabahagia rezekigakketuker,1.8751924161719575
58389,plantshopjakarta plantlovers,1.8751924161719575
54299,onlineshop syukurin_nikmatin_jalani_janganlupabahagia,1.8751924161719575
54301,onlineshopping onlineshop,1.8751924161719575
54302,onlineshopping onlineshop syukurin_nikmatin_jalani_janganlupabahagia,1.8751924161719575
54289,onlineordering ordernow,1.8131988045424932
51987,nogamenolife sora,1.7990651145650707
1544,9818640011 place,1.7984024840294461
10409,call 9818640011 place,1.7984024840294461
41473,kurami midnightdemonsgarage,1.7613528894283363
13148,chinese yummy,1.7549239856252137
28331,foodphotography foodstagram,1.7449975621208587
72290,sweet sour,1.7325818454060884
70799,stndrdissue stndrdissüe,1.702757271448313
10799,cant wait,1.698195828814719
44284,looking forward,1.6674959056180485
28517,foodsofdisneyland foodswelove,1.6664120540522935
28518,foodsofdisneyland foodswelove foodsgram,1.6664120540522935
28520,foodsofig foodscape foodsofindia,1.6664120540522935
28519,foodsofig foodscape,1.6664120540522935
28924,foodswelove foodsgram,1.6664120540522935
28913,foodstylish foodsharing foodspring,1.6664120540522935
28522,foodsofindia foodsforthough foodstylish,1.6664120540522935
28887,foodstories foodstragram,1.6664120540522935
28888,foodstories foodstragram foodsofdisneyland,1.6664120540522935
28893,foodstragram foodsofdisneyland,1.6664120540522935
28894,foodstragram foodsofdisneyland foodswelove,1.6664120540522935
28908,foodstylingandphotograpdhy foodstories,1.6664120540522935
28909,foodstylingandphotograpdhy foodstories foodstragram,1.6664120540522935
28912,foodstylish foodsharing,1.6664120540522935
28510,foodsharing foodspring foodstagramming,1.6664120540522935
28925,foodswelove foodsgram foodsofig,1.6664120540522935
28521,foodsofindia foodsforthough,1.6664120540522935
28491,foodsgram foodsofig,1.6664120540522935
28509,foodsharing foodspring,1.6664120540522935
28610,foodspring foodstagramming,1.6664120540522935
28480,foodscape foodsofindia foodsforthough,1.6664120540522935
28489,foodsforthough foodstylish,1.6664120540522935
28492,foodsgram foodsofig foodscape,1.6664120540522935
28479,foodscape foodsofindia,1.6664120540522935
28490,foodsforthough foodstylish foodsharing,1.6664120540522935
50754,nasi goreng,1.6539506391520473
70701,stir fry,1.6490262083618354
1546,9818640011 place order,1.6309461883555703
13174,chinesefood authentic,1.6283132367038171
45486,magicpin noida,1.62709152530354
78209,urbanjungleblogger urbanjungle,1.5772356643792942
40055,jibril stephanie,1.5701970206559839
26411,fit fitspo,1.5596128235326208
85263,zomato magicpin noida,1.5528340501876565
29982,fried rice,1.5505064247647
61167,r32 skyline,1.4822131659801587
54668,order thefeastboxin chinese,1.4758317619241699
54667,order thefeastboxin,1.4758317619241699
74460,thefeastboxin chinese,1.4758317619241699
13982,ck fit,1.4657597683204135
73780,teamlittlebirds shape fitgirl,1.4657597683204135
26599,fitnessgirl teamshape,1.4657597683204135
73787,teamshape aarmy,1.4657597683204135
73779,teamlittlebirds shape,1.4657597683204135
64061,running ck fit,1.4657597683204135
64060,running ck,1.4657597683204135
69713,sportas teamlittlebirds shape,1.4657597683204135
57113,photo running,1.4657597683204135
6370,beaute photographie photo,1.4657597683204135
26491,fitgirl beaute photographie,1.4657597683204135
26490,fitgirl beaute,1.4657597683204135
6369,beaute photographie,1.4657597683204135
66440,shape fitgirl beaute,1.4657597683204135
26600,fitnessgirl teamshape aarmy,1.4657597683204135
1592,aarmy sportas,1.4657597683204135
13983,ck fit fitspo,1.4657597683204135
66439,shape fitgirl,1.4657597683204135
57286,picoftheday fitnessgirl teamshape,1.4657597683204135
57285,picoftheday fitnessgirl,1.4657597683204135
57148,photographie photo running,1.4657597683204135
69712,sportas teamlittlebirds,1.4657597683204135
57114,photo running ck,1.4657597683204135
1593,aarmy sportas teamlittlebirds,1.4657597683204135
26413,fit fitspo fityourdreams,1.4657597683204135
26674,fitspo fityourdreams,1.4657597683204135
73788,teamshape aarmy sportas,1.4657597683204135
57147,photographie photo,1.4657597683204135
68767,sora jibril,1.4646189378964731
15199,complimentary contest,1.4632385499610994
27846,foodhaul zomato,1.4598988650719789
