135,So I never tried this before but I was keen to try something new and heathy! It turned out great! Green plantain fried in sesame seed oil tasted almost like fried potatoes!,"I love plaintains! You can also cut thicker pieces and as you fry them, squeeze them flat with a fork, they taste even more like potatoes that way❤️🌿","#cookingwithlove #cooking #baking #love
#foodart #photographer #foodlover #recipes #deliciousfood #foodblogger 
#instadaily #instagram #photooftheday
#lunch #lunchtime #herbs #firstposts #shadiscuisine #vegeterian  #healthy #healthyeating #healthydiet #organic #organicveggies #vegetarian #freshveggies #freshfruits #homecooking #yummy #foodoninstagram"
102,My this week’s farmers market haul!,"#cookingwithlove #cooking #baking #love
#foodart #photographer #foodlover #recipes #deliciousfood #foodblogger 
#instadaily #instagram #photooftheday
#lunch #lunchtime #herbs #firstposts #shadiscuisine #vegeterian  #healthy #healthyeating #healthydiet #organic #organicveggies #vegetarian #freshveggies #freshfruits #homecooking #yummy #foodoninstagram"
109,Happy quarantineoween!,"#cookingwithlove #cooking #baking #love
#foodart #photographer #foodlover #recipes #deliciousfood #foodblogger 
#instadaily #instagram #photooftheday
#lunch #lunchtime #herbs #firstposts #shadiscuisine #vegeterian  #healthy #healthyeating #healthydiet #organic #organicveggies #vegetarian #freshveggies #freshfruits #homecooking #yummy #foodoninstagram"
120,Can never get enough of salad! Topped with chopped chives from garden!,It’s so important to fuel our bodies with good food! Enjoy your day!,Salad is the besttt,Hey go check out my most recent recipe!!🤩🤩,"#cookingwithlove #cooking #baking #love
#foodart #photographer #foodlover #recipes #deliciousfood #foodblogger 
#instadaily #instagram #photooftheday
#lunch #lunchtime #herbs #firstposts #shadiscuisine #vegeterian  #healthy #healthyeating #healthydiet #organic #organicveggies #vegetarian #freshveggies #freshfruits #homecooking #yummy #foodoninstagram"
127,"Butternut squash soup topped with sage
Soup is a simple comforting food in Autumn 🍂",Sage is a great idea,"Butternut and Sage, 2 of my favourites! 🔥","Awesome! 😍 Love your blog, let’s support each other. Keep being an amazing vegan 🌱","#cookingwithlove #cooking #baking #love
#foodart #photographer #foodlover #recipes #deliciousfood #foodblogger 
#instadaily #instagram #photooftheday
#lunch #lunchtime #herbs #firstposts #shadiscuisine #vegeterian  #healthy #healthyeating #healthydiet #organic #organicveggies #vegetarian #freshveggies #freshfruits #homecooking #yummy #foodoninstagram",Ooohhh this looks like it would hit the spot 🙌👏
109,"Tea time! Quality time!
With artisan orange Rooibos tea

Persian Danish Pastries Recipe:  https://youtu.be/gvcB-lP5DRM","#cookingwithlove #cooking #baking #love
#foodart #photographer #foodlover #recipes #deliciousfood #foodblogger 
#instadaily #instagram #photooftheday
#lunch #lunchtime #herbs #firstposts #shadiscuisine #vegeterian  #healthy #healthyeating #healthydiet #organic #organicveggies #vegetarian #freshveggies #freshfruits #homecooking #yummy #foodoninstagram",Omg this looks amazing 🥰❤️
83,"Kiss! 

Persian Danish Pastries 😍 

Recipe:  https://youtu.be/gvcB-lP5DRM","#cookingwithlove #cooking #baking #love
#foodart #photographer #foodlover #recipes #deliciousfood #foodblogger 
#instadaily #instagram #photooftheday
#lunch #lunchtime #herbs #firstposts #shadiscuisine #vegeterian  #healthy #healthyeating #healthydiet #organic #organicveggies #vegetarian #freshveggies #freshfruits #homecooking #yummy #foodoninstagram",Omg this looks amazing 🥰❤️
130,Tada: Kale salad done! #healthyeating,"#cookingwithlove #cooking #baking #love
#foodart #photographer #foodlover #recipes #deliciousfood #foodblogger 
#instadaily #instagram #photooftheday
#lunch #lunchtime #herbs #firstposts #shadiscuisine #vegeterian  #healthy #healthyeating #healthydiet #organic #organicveggies #vegetarian #freshveggies #freshfruits #homecooking #yummy #foodoninstagram"
101,"Kale Salad in process  # 2 🥗 
Love the colors! ♥️","#cookingwithlove #cooking #baking #love
#foodart #photographer #foodlover #recipes #deliciousfood #foodblogger 
#instadaily #instagram #photooftheday
#lunch #lunchtime #herbs #firstposts #shadiscuisine #vegeterian  #healthy #healthyeating #healthydiet #organic #organicveggies #vegetarian #freshveggies #freshfruits #homecooking #yummy #foodoninstagram"
113,"🥗 I should make this my quote, Lol!
“It can’t get any easier than salad!” A colorful pallet of healthy ingredients! Voila!

I added ranch for dressing or you can use yogurt and lime juice to be healthier!",Mm charming,New healthy food. Follow Me😎,"#cookingwithlove #cooking #baking #love
#foodart #photographer #foodlover #recipes #deliciousfood #foodblogger 
#instadaily #instagram #photooftheday
#lunch #lunchtime #herbs #firstposts #shadiscuisine #vegeterian  #healthy #healthyeating #healthydiet #organic #organicveggies #vegetarian #freshveggies #freshfruits #homecooking #yummy #foodoninstagram"
113,"To donate to my Heart Walk fundraising go to

https://www.facebook.com/donate/293106854702443/?fundraiser_source=external_url

Cinnamon buns baked past Sunday for fundraising heart-walk ❤️ it went successful thanks much to my coworkers for their support!",If you're interested in upping your social game check out my website 😃,Cinnamon buns are one of my favorite things to bake~! ☺️,"#cookingwithlove #cooking #baking #love
#foodart #photographer #foodlover #recipes #deliciousfood #foodblogger 
#instadaily #instagram #photooftheday
#lunch #lunchtime #herbs #firstposts #shadiscuisine #vegeterian  #healthy #healthyeating #healthydiet #organic #organicveggies #vegetarian #freshveggies #freshfruits #homecooking #yummy #foodoninstagram"
123,"Sunday Funday!
Great source of nutritions",How yummy😍,"#cookingwithlove #cooking #baking #love
#foodart #photographer #foodlover #recipes #deliciousfood #foodblogger 
#instadaily #instagram #photooftheday
#lunch #lunchtime #herbs #firstposts #shadiscuisine #vegeterian  #healthy #healthyeating #healthydiet #organic #organicveggies #vegetarian #freshveggies #freshfruits #homecooking #yummy #foodoninstagram"
80,Home-made Spaghetti 🍝 This one makes me feel hungry!,"#cookingwithlove #cooking #baking #love
#foodart #photographer #foodlover #recipes #deliciousfood #foodblogger 
#instadaily #instagram #photooftheday
#lunch #lunchtime #herbs #firstposts #shadiscuisine #vegeterian  #healthy #healthyeating #healthydiet #organic #organicveggies #vegetarian #freshveggies #freshfruits #homecooking #yummy #foodoninstagram"
