text,likes,retweets,created_at,hashtag
https://t.co/yxDeCDZGTJ made grilled cheese and tomato ##food #cooking #japanese #foof #recipe,1,0,,#cooking
"RT @ChefJHerb: Sherry mushrooms with puff pastry and brie 
#FridayFeeling #homemade #Food #cooking https://t.co/f8TMQLorCb",0,22,,#cooking
"Learn something new this year! From #yoga to #cooking, @hooplaDigital has a collection of #books, #movies, and… https://t.co/62pmDM2eJL",1,0,,#cooking
Healthy and delicious! Whole wheat linguine with kale and pistachio pesto served with spiced oven roasted chicken!… https://t.co/FXQqyIg2iu,9,0,,#cooking
"RT @AndDinners: It's #selfpromosaturday!  Anyone in the #DnD, #ttrpg , or #cooking space, share what you have!  Share your creativity, prog…",0,9,,#cooking
"RT @chefericap: https://t.co/45r5SUQOLb let’s make some burger buns , some drunken candy , and have some fun . #baking #cooking @weareosd @…",0,1,,#cooking
"RT @abid_ali99: Feastover Cookbooks: Football Party: 1-Hour Feast for Homegating + Leftovers Recipes (Feastovers by Makeover Meals)
Lou Car…",0,7,,#cooking
Zabars! (and a Banksy) #nyc #upperwestside #banksy #food #foodie #cooking #kitchen #chef #meats #zabars #snails… https://t.co/FffgqvH35w,0,0,,#cooking
"Come watch me burn a cake or two as I keep trying out this game.

Let's hope there's a fire department on duty..… https://t.co/8ILSr7GE4N",5,0,,#cooking
"RT @GrannyMooninVA: #LokiDay #Saturday #Magickal #Cooking #Magick #Food #Spells #Cauldron #FoodSafety #Healing

Put #health and #blessings…",0,6,,#cooking
RT @iammrmoises: Life is Great!!! 🍃 🍝 🍽️ #grateful #gratitude #love #health #vegan #wellness #wholefoodsplantbased #plantbased #ahimsa #ebo…,0,1,,#cooking
Grilling in February? Yes. Yes I am. #Cooking #grilling #kingsford,0,0,,#cooking
"RT @jtfstores: #Competition Time! 
Win this kitchen appliance bundle;
🍲 Daewoo Soup Maker
🍗 Daewoo Air Fryer
RT this post &amp; tell us who you…",0,1479,,#cooking
Sitting...just sitting...listening to music...soup’s on...waiting for snow... #cooking #music #grateful… https://t.co/AHSbZq54Ep,9,0,,#cooking
"How do you like your fish made? 

Steamed, grilled, baked, fried or you eat raw?

#Cooking #cheflife #homecooking… https://t.co/a3h6rOnLrt",3,1,,#cooking
"RT @abid_ali99: Feastover Cookbooks: Football Party: 1-Hour Feast for Homegating + Leftovers Recipes (Feastovers by Makeover Meals)
Lou Car…",0,15,,#cooking
"RT @M3x1P4r4gr4ph: Happy Kimchi Fried Rice Friday!
I need to get better lighting... And green onions 💚

#Cooking #FridayVibes #food https:/…",0,1,,#cooking
"It's time to make some Pierogis! Come hang out at https://t.co/jArzaCNaTK

#twitchtv #twitchstreamer #SmallStreamerCommunity #cooking",3,0,,#cooking
Cooking with Frankie #cooking #frankie @ Silver Lake https://t.co/UybGcRch4B,0,0,,#cooking
"RT @Living_Lou: Make perfectly roasted chicken thighs that are crispy on the outside and tender on the inside!

RECIPE and COOKING TIPS her…",0,9,,#cooking
"I don’t spend 987654200 hours on @tiktok to not learn anything! 🍝

Drop a 🙌🏾 if you tried this dish?!

#tiktok… https://t.co/B3OHMNPhUy",0,1,,#cooking
RT @GillianMKendall: Cooking disaster:  I sprinkled a lot of raisins on top of a batch of stuffing.  I thought something was wrong with my…,0,1,,#cooking
"RT @Living_Lou: Fabulous chili recipes here for you. Chose from traditional, vegetarian, or recipes made with minced turkey or added beer!…",0,13,,#cooking
