text,likes,retweets,created_at,hashtag
Chocolate covered apples #chocolate #food #cooking #TikTok https://t.co/vDc1U4XiH4,1,0,2021-02-16 23:59:37,#cooking
RT @georgefebish: Do you love Cioppino? This Italian fish stew is called Caciucco in Italy. It is delicious with many wonderful flavors. Wa…,0,3,2021-02-16 23:59:13,#cooking
"RT @EtherealNaiad: Beef, potato, &amp; veggie soup that I made the other day. Wish I had some now. 🥶 #food #cooking #homecooks #homecooking htt…",0,12,2021-02-16 23:59:13,#cooking
RT @georgefebish: Have you ever eaten spaghetti squash? it is like angel hair pasta. Watch our YouTube video below to learn how to make thi…,0,2,2021-02-16 23:58:55,#cooking
RT @ArchitectureMad: Thanks for another top class meal from Alessandro at Made in Sicilia in Morpeth.  If you are in the area we can certai…,0,1,2021-02-16 23:58:43,#cooking
"RT @Living_Lou: Chicken enchiladas are a favourite!

Check out the recipe here and buy the ingredients for a tasty meal this week.

RECIPE:…",0,15,2021-02-16 23:56:06,#cooking
"RT @PestoChampion: The perfect #recipebox dining experience during a pandemic! 😋
👉 https://t.co/J5RIVUBQs4 👈
Discount Code: BOWLEDPESTO for…",0,5,2021-02-16 23:53:44,#cooking
"Shopping for a modern mixer can be confusing, so the Groom+Style review team is here to “sift” through the possibil… https://t.co/m9ypxZrraa",0,0,2021-02-16 23:53:19,#cooking
"Edna Lewis was a renowned American chef, teacher, and author who helped refine the American view of Southern cookin… https://t.co/u4CB9WNv5H",0,0,2021-02-16 23:53:14,#cooking
I want sushi 🍱 🍣 #baking #cooking #breakfast #PancakeTuesday #chocolate #food #ShroveTuesday #cake #coffee… https://t.co/izWZYC3SW0,0,0,2021-02-16 23:53:13,#cooking
#Foodie Alert!! Easiest-Ever Paella https://t.co/rVHxfBwK5B #cooking #yummy #food https://t.co/p3OZXKqwFP,0,0,2021-02-16 23:52:33,#cooking
"RT @McBrideWriter: Who wants chocolate chip pancakes?
🥞🍪🥞🍪🥞🍪🥞🍪🥞🍪
#food #cooking #chocolate #foodpoll https://t.co/ubm4Diacpr",0,45,2021-02-16 23:52:22,#cooking
Basalmic and Herb Marinated London Broil for Dinner. #meat #grilling #grillingseason #djlife #cooking #meatsweats… https://t.co/g3YU6Wy4Pv,0,0,2021-02-16 23:50:57,#cooking
"RT @McBrideWriter: Who wants chocolate chip pancakes?
🥞🍪🥞🍪🥞🍪🥞🍪🥞🍪
#food #cooking #chocolate #foodpoll https://t.co/ubm4Diacpr",0,45,2021-02-16 23:50:38,#cooking
"Want to work at Bob Evans Restaurants? We're hiring in Fayetteville, WV! Click for details: https://t.co/QAGrWUgFF0 #Cooking #FoodPrep",0,0,2021-02-16 23:50:06,#cooking
"RT @McBrideWriter: Who wants chocolate chip pancakes?
🥞🍪🥞🍪🥞🍪🥞🍪🥞🍪
#food #cooking #chocolate #foodpoll https://t.co/ubm4Diacpr",0,45,2021-02-16 23:49:35,#cooking
Hey ya’ll! I’m gonna be doing a Cooking With Monica love stream tonight over on Instagram! Hope to see you there!… https://t.co/KNlqWOt75A,0,0,2021-02-16 23:48:46,#cooking
More ways to get your 👩🏽‍🍳on. The new LG InstaView Ranges come with built-in Air Fry and Air Sous Vide modes.… https://t.co/KEdK6nZsB9,13,5,2021-02-16 23:48:21,#cooking
"RT @queersnkitchen: Vote for me in the Favorite Chef Competition! 

Read all about my cooking journey and why I want to win this amazing co…",0,2,2021-02-16 23:47:28,#cooking
"RT @CreationYummy: Moist Chocolate Cake(Without Oven)
Steaming a Chocolate Cake batter produces a light, moist cake with homemade chocolate…",0,6,2021-02-16 23:47:05,#cooking
RT @BakingCooking: Do savoury #potato #pancakes count as well? 👩🏻‍🍳😋🥔🥞🍠🥚😍#HappyPancakeDay #PancakeDay #PancakeTuesday #PancakeDay2021 #panc…,0,2,2021-02-16 23:46:41,#cooking
How to Recover from a Marathon https://t.co/avLi0hbI1e #cooking,0,0,2021-02-16 23:46:22,#cooking
"RT @queersnkitchen: Vote for me in the Favorite Chef Competition! 

Read all about my cooking journey and why I want to win this amazing co…",0,2,2021-02-16 23:46:20,#cooking
Healthy #Cooking Suggestion: frozen #FruitsAndVeggies are quick to make and deliver great #nutrition:… https://t.co/NkfRGjL8sA,0,0,2021-02-16 23:46:14,#cooking
"Vote for me in the Favorite Chef Competition! 

Read all about my cooking journey and why I want to win this amazin… https://t.co/KINCLFMYKX",3,2,2021-02-16 23:45:14,#cooking
"Non-Stick Fried Egg Molds Set
Price: 12.95 &amp; FREE Shipping
#Cooking #cookingsector #eggs #molds https://t.co/5VudBp0oFg",0,0,2021-02-16 23:45:06,#cooking
"RT @vjqvw178jr82w2q: Name : Risuta

挑戦系Youtuber
challenge series Youtuber

#英会話 #English conversation
#料理     #cooking
#筋トレ #muscle trainin…",0,7,2021-02-16 23:42:59,#cooking
"RT @randallkjones: NEW #PODCAST EPISODE! Judge #PatriciaDiMango from #HotBench on improving our #legalsystem, #cooking with #rachaelray, be…",0,10,2021-02-16 23:42:54,#cooking
"RT @McBrideWriter: What do you put on pancakes?
🥞🥞🥞❤🥞🥞❤🥞🥞🥞
#food #cooking #baking #foodpoll",0,11,2021-02-16 23:40:42,#cooking
#fireplace #tunafillet #recipe for #texaswinters survival #cooking https://t.co/UVBy8oxuRh,2,0,2021-02-16 23:40:02,#cooking
Come and see Chef Antonio's LIVE in #BIGOLIVE: #Amusing #food show #cooking breakfast tacos… https://t.co/2G8RSNaDw5,1,0,2021-02-16 23:37:30,#cooking
"Prepare a 72-hour kit ❣️

Type: Busy Work 👨‍💻

Participants: 1

Accessibility: 0.5/1 (zero being the most accessibl… https://t.co/5SfWeuCDC8",0,0,2021-02-16 23:36:18,#cooking
"More #castiron goodness! Making a pot pie tonight!
#cooking #lodge #veggies https://t.co/7CWw6IngXr",5,0,2021-02-16 23:33:58,#cooking
"RT @GinHollywood: Happy Pancake Tuesday folks 🥞🍸

#tingeofginge #gin #gintonic #gintasting #gintastic #gingin #gingingin #pancakes #pancake…",0,9,2021-02-16 23:31:34,#cooking
"Pad Thai homemade 😋
#padthai #Cooking #food #Foodie https://t.co/wDprP3XKs5",2,0,2021-02-16 23:31:12,#cooking
The Family Cooking Project will launch in Woodville after the Family Day long weekend and will move on to other rur… https://t.co/STpqLvAJ5T,0,0,2021-02-16 23:31:01,#cooking
Open your home to delicious #dishes! We are here to add some new variety to your #cooking repertoire with a fresh b… https://t.co/DmTynY53x9,3,2,2021-02-16 23:30:05,#cooking
"Happy pancake day! 

Building futures celebrated #pancakeday by making pancakes on an open fire in the in the snow.… https://t.co/K6T439Xfzh",3,0,2021-02-16 23:29:16,#cooking
"CLICK LINK TO VIEW POST =&gt; https://t.co/Mo1vw5ZXc4 
गरमागरम हॉट चॉकलेट | Hot Chocolate recipe with all tips for per… https://t.co/Ow6R2gPrir",0,0,2021-02-16 23:27:28,#cooking
My next MC takes up cooking to deal with life’s stresses. Help me make her a wizard in the kitchen . . . cause I ce… https://t.co/h5GogCFZFS,3,0,2021-02-16 23:25:46,#cooking
"RT @VictoriaGourmet: Move over taco Tuesday, its Tamale Pie Tuesday now! Rotisserie chicken is layered with polenta, enchilada sauce or sal…",0,2,2021-02-16 23:25:13,#cooking
90s MUSIC IS ALWAYS A MOOD WHEN IM IN THE KITCHEN COOKING #90smusic #cooking #issamood,1,0,2021-02-16 23:23:19,#cooking
Ready to add making cornbread muffins from scratch to your #cooking repertoire? #goodfood  https://t.co/jEk4O1Ofku https://t.co/FyFQeu2pvl,0,0,2021-02-16 23:23:13,#cooking
RT @justsimplywood: Hand carving a walnut tasting spoon with a Hirsch gouge.  #foodstyling #kitchentable #cooking  #handcarving #cheflife…,0,1,2021-02-16 23:22:37,#cooking
"To enhance flavours, make sure to toast your spices!

#food #cooking #recipes https://t.co/DYfzcAeoFP",1,0,2021-02-16 23:22:10,#cooking
"RT @CreationYummy: Moist Chocolate Cake(Without Oven)
Steaming a Chocolate Cake batter produces a light, moist cake with homemade chocolate…",0,6,2021-02-16 23:21:34,#cooking
"Opening a cooking school or starting #cooking classes can be a blast. But, before you get started, consider these q… https://t.co/y1uYGAiXZ5",0,0,2021-02-16 23:20:19,#cooking
