text,likes,retweets,hashtag
"Valentine's Day is just around the corner. If you are looking for one of the best #gifts, here it is- a special hom… https://t.co/bOm0I9wPv8",82,68,#cooking
"✨#cooking en Madrid, Spain https://t.co/qycAuv4pyZ",94,17,#cooking
"🌱 

Why eating less meat is good for the environment. 

#environment #vegetarian #vegan 

 https://t.co/6PF2N9T71D",194,136,#vegetarian
"17 Popular Indore Street Food You Must Try https://t.co/Gw2ar2ExTV for all the vegetarians like me 

#travel… https://t.co/28B8g5wyN5",175,43,#vegetarian
"Black vegan, activist, and business owner @rachaelxss is making the world better for both humans and animals alike… https://t.co/Czcv9kenZC",249,69,#vegan
"Don't fall for the ""free-range"" myth. The only cruelty-free label is #vegan. https://t.co/9zQHpWCRux",182,85,#vegan
"🌱 

Why eating less meat is good for the environment. 

#environment #vegetarian #vegan 

 https://t.co/6PF2N9T71D",194,136,#vegan
"Introducing Urban Decay’s FIRST 100% VEGAN Naked Eyeshadow Palette: Naked Wild West☀This LIMITED-EDITION, desert-in… https://t.co/VYrNB9apHb",239,38,#vegan
Heartbreaking. Abandoned or discarded fishing gear – also known as “ghost gear” – mutilates and kills millions of a… https://t.co/N3y4zjiAD1,156,66,#vegan
"Down is painfully RIPPED from live birds.

Always choose #vegan. https://t.co/jU09fuSz3p",69,54,#vegan
"You don’t have to go far to get #vegan wings anymore!

Find out what’s available at @RalphsGrocery, @AldiUSA, and m… https://t.co/a5IcY51LIk",58,20,#vegan
"These #vegan wings are a #SuperBowl Sunday game-changer 🏈😉

Did a spot in your town make the list? https://t.co/qLLqDBlOS1",61,23,#vegan
"Our ALL-NEW, 100% vegan Naked Wild West Eyeshadow palette delivers every look— from mild to wild 😎 Dropping at… https://t.co/DRSKoOP5k8",128,20,#vegan
