captions,likes,comments,hashtag
birthday lunch bestthaiaddison crispy spicy soy beef amazing ordered lowest level spice sweet side hint also got pad see ew noodle tofu thai curry puff filled curry potato veggie goodvegan veganbeef crispysoybeef cowfree,53,"[""'.\\n.\\n.\\n.\\n.\\n#plantbased #powerofplants #veganville #veganfood #vegans #veganshare #veganaf #veganism #vegancommunity #veganlife #vgang #vegansofinstagram #vegansofig #eatvegan #noanimalsharmed #noanimalingredients #crueltyfree #mindfuleating \\xa0#govegan #allplants #thaifood'"", ""'it look fantastic!'"", ""'this look so yummy '""]",allplants
another cutting taking place jungle looking stylish plantsofinstagram plantstagram plant plantplantplant notanarwhal,15,[],allplants
amen local comfort got u iso hot sour noodle soup sans egg handmade chinese green vegetable tofu dumpling cold seaweed salad hot soy milk,47,"[""'#vegan#veganfood#vegetarian#vegetarianfood#veganfoodporn#foodporn#veganeats#whatveganseat#veganfoodshare#sydneyveganfoodie#allplants#plantbased#plantpowered#veganfoodlovers#dumplings#dumpling#vegandumplings#handmadedumplings#chinesefood#veganchinesefood#burwoodchinatown#noodles#localeats#'"", ""'i love a good vegan chinese meal especially with dumpling and also reviewing vegan product so vegan and health conscious people alike so they know which product are worth purchasing! if you like that too come and look at my post today on a vegan gf paleo brownie! enjoy your week!'"", ""'your page is fantastic '"", ""'delicious'"", ""'this place always hit the spot '""]",allplants
cannot buy win happiness must choose สขภาพกเชนกน เราตองเลอก life smile happy happiness tuesday december win nutrilitethailand nutrition nutrilite protein amwaylife amwaycreators amwaythailand amwaytoday amwaycreatorsth happyday organicfarming organic,169,[],allplants
veggie stuffed pasta shell cook medium pasta shell according package direction saute 2 diced onion 6 crushed garlic bulb set aside medium bowl combine one medium container wet cottage cheese 1 cup fresh chopped spinach 1 chopped red bell pepper 1 pkg plant based sausage 12 c parmesan cheese cup chopped fresh tomato pepper italian spice add onion garlic fill cooked pasta shell cover italian pasta sauce sprinkle mozzarella cheese like bake 350 40 minute garnish parmesan cheese comfortfood plantpower stuffedpasta stuffedfamily healthydiet meatless kidsloveit hubbyloves nomeat plantifullybased,13,"[""'you torture me with all your yummy vegetarian food!!! i used to make good food but my family complained so much i stopped! '""]",allplants
motivationmonday allnatural allgains vegan guiltfree earnedeveryday fitover40 fitmultiplesclerosis triathlete positivemindset ownit,1,[],allplants
herbal face committed socially conscious brand promotes conscious consumerism throughout world use post consumer recycled material packaging widely recycled like glass aluminum product packaging 99 plastic free ingredient contain palm oil process involve destruction harm plant animal marine life ingredient 100 plant active concentrate come seed fruit leaf flower plant,52,"[""'#sustainablebeauty #sociallyconscious #serum #selfloveessential #selfcare #selflove #allplants #antiaging #antiagingskincare'"", ""'the best '""]",allplants
day grow shorter darkness arrives sooner bask add little extra golden glow,45,"[""'#withflume #findyourflow #flowstateofmind #adaptogens #flowstate #botanicals #botanicalsupplements #ethicallysourced #sustainablysourced #nootropics #herbs #wellness #vegan #plantmedicine #herbalmedicine #supplement #allplants #holistic #mindfulness #mindfulnessthroughmaking #findingflow #flow #getoutside #foodasmedicine #health #sportsnutrition #holisticnutritionist #supplements #flume #bioharminize'""]",allplants
asthma respahealth allergy copd cleanair asthmatriggers,14,"[""'#breathe #asthmaawarenessmonth #aam #purifier #skincare #venta #healthylung #healthylungs #airpollution #allplants #blackownedbusiness #iglow'""]",allplants
posted withregram plantsidecafe christmas saved missed jeavonstoffee festive selection first time round sold record time working sock make get theyre gone taking order christmas menu 20th dec item limited availability 6 veganzola salad 5 xmas pud left second run planning ordering probably best get touch sooner rather later beginning look lot like christmas christmas christmasdinner jeavonstoffee chocolate veganfood whatveganseat ordernow,6,[],allplants
