frequency,bigram/trigram,polarity,subjective
227,balam xelha,0.0,0.0
222,xelha yuki,0.0,0.0
215,balam xelha yuki,0.0,0.0
208,petsofworld petsofinstagram,0.0,0.0
208,pawprints animallover pawclub,0.0,0.0
208,pawprints animallover,0.0,0.0
208,mykidshavepaws lovemyfurfriends petsofworld,0.0,0.0
208,mykidshavepaws lovemyfurfriends,0.0,0.0
208,lovemyfurfriends petsofworld petsofinstagram,0.0,0.0
208,lovemyfurfriends petsofworld,0.0,0.0
208,instapet followback petphoto,0.0,0.0
208,instapet followback,0.0,0.0
208,happypets healthypets,0.0,0.0
208,furbabys instapet followback,0.0,0.0
208,furbabys instapet,0.0,0.0
208,followback petphoto,0.0,0.0
208,animallover pawclub,0.0,0.0
189,yuki ixchel,0.0,0.0
182,mokka shady,-0.25,0.625
180,xelha yuki ixchel,0.0,0.0
172,shady balam,-0.25,0.625
170,shady balam xelha,-0.25,0.625
169,mokka shady balam,-0.25,0.625
147,teamtrufita petlover peekitos,0.0,0.0
147,teamtrufita petlover,0.0,0.0
147,síguenos teamtrufita petlover,0.0,0.0
147,síguenos teamtrufita,0.0,0.0
147,petsofworld petsofinstagram furfriends,0.0,0.0
147,petsofinstagram furfriends furbabys,0.0,0.0
147,petsofinstagram furfriends,0.0,0.0
147,petlover peekitos pawprints,0.0,0.0
147,petlover peekitos,0.0,0.0
147,peekitos pawprints animallover,0.0,0.0
147,peekitos pawprints,0.0,0.0
147,mexipets mykidshavepaws lovemyfurfriends,0.0,0.0
147,mexipets mykidshavepaws,0.0,0.0
147,healthypets mexipets mykidshavepaws,0.0,0.0
147,healthypets mexipets,0.0,0.0
147,happypets healthypets mexipets,0.0,0.0
147,happyherd happypets healthypets,0.0,0.0
147,happyherd happypets,0.0,0.0
147,happyfamily happyherd happypets,0.0,0.0
147,happyfamily happyherd,0.0,0.0
147,furfriends furbabys instapet,0.0,0.0
147,furfriends furbabys,0.0,0.0
117,link bio,0.0,0.0
102,yuki ixchel happyfamily,0.0,0.0
102,petphoto síguenos teamtrufita,0.0,0.0
102,petphoto síguenos,0.0,0.0
102,ixchel happyfamily happyherd,0.0,0.0
102,ixchel happyfamily,0.0,0.0
102,followback petphoto síguenos,0.0,0.0
77,hello fresh,0.3,0.5
68,shady mokka,-0.25,0.625
61,teamtrufita teambibrisas petlover,0.0,0.0
61,teamtrufita teambibrisas,0.0,0.0
61,teambibrisas petlover pawprints,0.0,0.0
61,teambibrisas petlover,0.0,0.0
61,petsofworld petsofinstagram furbabys,0.0,0.0
61,petsofinstagram furbabys instapet,0.0,0.0
61,petsofinstagram furbabys,0.0,0.0
61,petphoto teamtrufita teambibrisas,0.0,0.0
61,petphoto teamtrufita,0.0,0.0
61,petlover pawprints animallover,0.0,0.0
61,petlover pawprints,0.0,0.0
61,pawclub instadogs instacats,0.0,0.0
61,pawclub instadogs,0.0,0.0
61,mexicanpets mykidshavepaws lovemyfurfriends,0.0,0.0
61,mexicanpets mykidshavepaws,0.0,0.0
61,instadogs instacats,0.0,0.0
61,healthypets mexicanpets mykidshavepaws,0.0,0.0
61,healthypets mexicanpets,0.0,0.0
