captions,likes,comments,hashtag
"Birthday lunch at @bestthaiaddison.  Their Crispy Spicy Soy ‘Beef’ is amazing!  I ordered the lowest level of spice so this is more on the sweet side with just a hint of 🔥. Also got some Pad See Ew noodles with tofu and Thai Curry Puff filled with curry potatoes and
veggies.  So good!👌🏽#vegan #veganbeef #crispysoybeef #cowfree",53,"['.\n.\n.\n.\n.\n#plantbased #powerofplants #veganville #veganfood #vegans #VeganShare #VeganAF #Veganism #VeganCommunity #VeganLife #VGang #VegansOfInstagram #VegansOfIG #eatvegan #NoAnimalsHarmed #NoAnimalIngredients #CrueltyFree #MindfulEating \xa0#GoVegan #allplants #thaifood', 'It looks fantastic!', 'This looks so yummy 😍😍']",allplants
Another cutting taking their place in the jungle 🦙 looking stylish #plantsofinstagram #allplants #plantstagram #plant #plantplantplant #notanarwhal,15,[],allplants
"Amen to those Local comforts that got us through iso 🍜 🥟
• •
Hot and sour noodle soup (sans egg), Handmade Chinese green vegetable & tofu dumplings, cold seaweed salad, hot soy milk",47,"['#vegan#veganfood#vegetarian#vegetarianfood#veganfoodporn#foodporn#veganeats#whatveganseat#veganfoodshare#sydneyveganfoodie#allplants#plantbased#plantpowered#veganfoodlovers#dumplings#dumpling#vegandumplings#handmadedumplings#chinesefood#veganchinesefood#burwoodchinatown#noodles#localeats#', 'I love a good vegan Chinese meal especially with dumplings 😍😍 and also reviewing vegan products so vegans and health conscious people alike so they know which products are worth purchasing!😋😋 if you like that too come and look at my post today on a vegan gf paleo brownie! enjoy your week!🤗🌱', 'Your page is fantastic 🌱', 'Delicious', 'This place always hits the spot 😍😍']",allplants
"You cannot buy or win happiness, you must choose it. 
สุขภาพก็เช่นกัน เราต้องเลือก 😄
.
.
.
.
#life #smile #happy #happiness #tuesday #december #win #nutrilitethailand #nutrition #nutrilite #protein #allplants #amwaylife #amwaycreators #amwaythailand #amwaytoday #amwaycreatorsth #happyday #organicfarming #organic",169,[],allplants
"Veggies stuffed pasta shells 🐚

Cook medium pasta shells according to package directions 

Sauté 2 diced onions and 6 crushed garlic bulbs, set aside 

In a medium bowl combine one medium container of wet cottage cheese, 1 cup fresh chopped spinach, 1 chopped red bell pepper , 1 pkg of plant based sausage, 
1/2 c Parmesan cheese, I cup chopped fresh tomatoes, pepper, and Italian spices. Add the onions and garlic. 

Fill the cooked pasta shells, cover with Italian pasta sauce sprinkle with mozzarella cheese if you like. 

Bake 350 for 40 minutes, then garnish with more Parmesan cheese ✨

.
.
.
#comfortfood #plantpower #stuffedpasta #stuffedfamily #allplants ##healthydiet #meatless #kidsloveit #hubbyloves #nomeat #plantifullybased",13,['You torture me with all your yummy vegetarian food!!! I used to make good food but my family complained so much I stopped! 😜'],allplants
"#motivationmonday 
#allnatural 
#allplants
#allgains
#vegan
#guiltfree
#earnedeveryday 
#fitover40 
#fitmultiplesclerosis 
#triathlete
#positivemindset
#ownit",1,[],allplants
"Herbal Face Food is committed to being a socially conscious brand and promotes conscious consumerism throughout the world. We use post consumer recycled materials and packaging that is widely recycled like glass and aluminum. Our products and packaging are 99% plastics free. Our ingredients do not contain Palm oil or any processes that involve the destruction or harm of any plant, animals or marine life. Our ingredients are 100% plants only and active concentrates come from the seeds, fruits, leaves, or flowers of the plants.",52,"['#sustainablebeauty #sociallyconscious #serum #selfloveessential #selfcare #selflove #allplants #antiaging #antiagingskincare', 'The best 🙌🏼']",allplants
"As the days grow shorter and darkness arrives sooner, BASK™ adds a little extra golden glow.",45,['#withflume #findyourflow #flowstateofmind #adaptogens #flowstate #botanicals #botanicalsupplements #ethicallysourced #sustainablysourced #nootropics #herbs #wellness #vegan #plantmedicine #herbalmedicine #supplement #allplants #holistic #mindfulness #mindfulnessthroughmaking #findingflow #flow #getoutside #foodasmedicine #health #sportsnutrition #holisticnutritionist #supplements #flume #bioharminize'],allplants
"What is asthma? 🌬️⁠
.⁠
.⁠
.⁠
#respahealth #allergies #copd #cleanair #asthmatriggers",14,['#breathe #asthmaawarenessmonth #aam #purifier #skincare #venta #healthylung #healthylungs #airpollution  #allplants #blackownedbusiness #iglow'],allplants
"Posted @withregram • @plantsidecafe Christmas is saved! We missed out on @jeavonstoffee festive selection first time round as they sold out in record time. But they have been working their socks off to make more - get them before they’re gone!

We are taking orders for our Christmas menu until the 20th Dec but some items have limited availability. There are only 6 of the Veganzola salad & 5 Xmas puds left (of the second run!)
If you are planning on ordering it’s probably best to get in touch sooner rather than later.

It’s beginning to look a lot like Christmas! 🎄🎁🎄🎁🎄

#christmas #christmasdinner #allplants #jeavonstoffee #chocolate #veganfood #whatveganseat #ordernow",6,[],allplants
