frequency,bigram/trigram,polarity,subjective
101,link bio,0,0
47,foodstagram foodblogger,0,0
39,foodblogger foodlover,0,0
37,olive oil,0,0
34,foodstagram foodlover,0,0
29,place order,0,0
29,lunch dinner,0,0
28,foodstagram instagood,0,0
25,salt pepper,0,0
25,photooftheday picoftheday,0,0
25,let know,0,0
24,meat meatlover,0,0
24,12 cup,0,0
23,instagood love,0.5,0.6
23,healthylifestyle healthyfood,0,0
23,foodblogger foodstagram,0,0
22,sweet potato,0.35,0.65
22,healthyfood healthylifestyle,0,0
22,healthyfood healthy,0.5,0.5
21,instagood bestoftheday,0,0
21,instafollow followme,0,0
21,healthy healthyfood,0.5,0.5
21,gluten free,0.4,0.8
21,dinner lunch,0,0
21,amazing smile,0.45,0.5
20,travelblogger travelphotography,0,0
20,tag friend,0,0
20,picoftheday instadaily instafollow,0,0
20,picoftheday instadaily,0,0
20,look instalike,0,0
20,like4like look,0,0
20,instalike igers,0,0
20,instafollow followme girl,0,0
20,instadaily instafollow followme,0,0
20,instadaily instafollow,0,0
20,igers picoftheday,0,0
20,foodlover foodblogger,0,0
20,followme girl,0,0
19,vegeterian procreate plantbasednutrition,0,0
19,vegeterian procreate,0,0
19,travelphotography travelgramsky,0,0
19,travelblogger travelphotography travelgramsky,0,0
19,travel travelblogger travelphotography,0,0
19,travel travelblogger,0,0
19,smile follow4follow like4like,0.3,0.1
19,smile follow4follow,0.3,0.1
19,procreate plantbasednutrition artprocess,0,0
19,procreate plantbasednutrition,0,0
19,plantbasednutrition artprocess digitaldrawing,0,0
19,plantbasednutrition artprocess,0,0
19,photooftheday artoftheday artistsoninstagram,0,0
19,photooftheday artoftheday,0,0
19,photooftheday 20likes amazing,0.6,0.9
19,photooftheday 20likes,0,0
19,naturephotography handmade handmadeart,0,0
19,naturephotography handmade,0,0
19,naturelovers illustration vegeterian,0,0
19,naturelovers illustration,0,0
19,look instalike igers,0,0
19,like4like look instalike,0,0
19,light abstractart abstact,0.4,0.7
19,light abstractart,0.4,0.7
19,interiordesigner interiordecor fluidart,0,0
19,interiordesigner interiordecor,0,0
19,interiordecor fluidart naturephotography,0,0
19,interiordecor fluidart,0,0
19,instalike igers picoftheday,0,0
19,illustration vegeterian procreate,0,0
19,illustration vegeterian,0,0
19,igers picoftheday instadaily,0,0
19,ice cream,0,0
19,howtodraw light abstractart,0.4,0.7
19,howtodraw light,0.4,0.7
19,handmadeart gallery artgallery,0,0
19,handmadeart gallery,0,0
19,handmade handmadeart gallery,0,0
19,handmade handmadeart,0,0
19,greenarchitecture digitalart naturelovers,0,0
19,greenarchitecture digitalart,0,0
19,gallery artgallery travel,0,0
19,gallery artgallery,0,0
19,follow4follow like4like look,0,0
19,follow4follow like4like,0,0
19,fluidart naturephotography handmade,0,0
19,fluidart naturephotography,0,0
19,digitaldrawing howtodraw light,0.4,0.7
19,digitaldrawing howtodraw,0,0
